Step,FedEraser,FedRecover,Retrain,Crab
1,2.2382632323673800,2.3044292799631800,2.3021163736070900,2.264561620050550
2,2.127531702632000,2.119849353063670,2.2843181178683300,2.1919270617621300
3,1.9991747306642100,1.9179925064813500,2.24962495077224,
4,1.9261690768741400,1.892401375089370,2.165970755985810,
5,1.8801820618765700,1.883718676112950,2.05622030825842,
6,1.8397974286760600,5.096646909713750,1.9647828569866400,1.8766275899750800
7,1.8002012112027100,4.4974357100895500,1.905777827671600,1.8422807778630900
8,1.7598033977690200,6.408833728063670,1.864845968201050,
9,1.7185126801899500,2.5819361586797800,1.8252533819561900,1.7503007041556500
10,1.679358655611670,1.882965368997480,1.7841051837376200,1.7022702071131500
11,1.642431485539390,1.8812842641558000,1.742369549842110,
12,1.606644267581760,1.8789748500642300,1.7029031249455000,
13,1.58270047778175,1.8788995956239200,1.6668146015348900,
14,1.5506017880212700,1.8781553547723000,1.6331010800316200,1.5679528859196900
15,1.527907233692350,1.877472294852850,1.6040500622703900,1.5432580339665300
16,1.50199613571167,1.8771997601645300,1.577349922316420,1.5188491416829000
17,1.4817642790930600,1.876910793894810,1.5542685592742200,1.4989656444106800
18,1.461821754092260,1.8761019611358600,1.531884736787710,
19,1.4432354200454000,1.8756077221461700,1.5129076435452400,
20,1.424788240932280,1.8748353065763200,1.4947814337412500,
21,1.4111085312707100,1.8747992817560800,1.4778315600894700,
22,1.396443348385040,1.8744660420644900,1.4619146739868900,
23,1.3816581716991600,1.8745849579856500,1.4457875823974600,1.4032546741621800
24,1.3687354487464500,1.8742546040671200,1.4321145800181800,1.3991778263023900
25,1.3545428123928300,1.8746419336682300,1.4171280640647500,1.3838049322366700
26,1.3445539951324500,1.8737511553083100,1.4035922550019800,1.3691482267209500
27,1.3318648603984300,1.8734496670677500,1.390512307030810,1.3592428143535300
28,1.3178624233745400,1.8733773633412000,1.3795716292517500,
29,1.3076088249115700,1.8733868753342400,1.364525976635160,1.3413456825273400
30,1.2945610318865100,1.8724594018572900,1.3533631168093,
31,1.2792212888172700,1.8721560473669100,1.3422466498329500,
32,1.2651725884846300,1.8727630994433400,1.3285998514720400,
33,1.2519773438998600,1.8719748204095000,1.3174663895652400,1.323592255272430
34,1.2395344730785900,1.8723136536280300,1.3076324189276900,
35,1.2286427485375200,1.872011165164770,1.2972062991914300,
36,1.2196627705437800,1.8715508115859300,1.2829983248029400,1.302462345223546
37,1.2055103718666800,1.8713652867362600,1.2727960133552600,
38,1.1974977536428500,1.8710871501196000,1.2611667880557800,
39,1.1828885661988000,1.8709894470941500,1.2511468620527400,